Frequency_Hz,C3,C4,O1,O2,Fp1,Fp2,Cz,Pz
0.000000e+00,2.432937e+00,2.133041e+00,1.499511e+00,2.094702e+00,4.411997e+00,3.949598e+00,3.074466e+00,2.936017e+00
2.500000e-01,9.433964e-01,8.426692e-01,5.916026e-01,8.665832e-01,1.873786e+00,1.643578e+00,1.200253e+00,1.153756e+00
5.000000e-01,7.607262e-01,7.932646e-01,8.631649e-01,1.068744e+00,6.831660e+00,6.854216e+00,9.268791e-01,9.312641e-01
7.500000e-01,2.069817e+01,1.804079e+01,2.258730e+01,2.094671e+01,1.620089e+02,1.520700e+02,2.420753e+01,2.489740e+01
1.000000e+00,1.824373e+02,1.458891e+02,1.569669e+02,1.448916e+02,7.625167e+02,6.935976e+02,2.111159e+02,2.343157e+02
1.250000e+00,4.503967e+02,2.739290e+02,3.285706e+02,3.338595e+02,1.447536e+03,1.341550e+03,4.455139e+02,4.893254e+02
1.500000e+00,3.989011e+02,2.490769e+02,3.683100e+02,4.726551e+02,1.909566e+03,1.742172e+03,3.719061e+02,4.333030e+02
1.750000e+00,2.898248e+02,2.113054e+02,3.626050e+02,4.791580e+02,1.660054e+03,1.412671e+03,3.079622e+02,4.308265e+02
2.000000e+00,2.628860e+02,2.694270e+02,2.364758e+02,2.918581e+02,1.773939e+03,1.517350e+03,3.820544e+02,3.623264e+02
2.250000e+00,2.722459e+02,2.547969e+02,2.962385e+02,2.697796e+02,1.551270e+03,1.373217e+03,3.437065e+02,3.495281e+02
2.500000e+00,2.108373e+02,1.572424e+02,2.296556e+02,1.800825e+02,1.187033e+03,9.990845e+02,2.205667e+02,2.089022e+02
2.750000e+00,1.018247e+02,9.251236e+01,1.530575e+02,1.794217e+02,7.506106e+02,6.182411e+02,1.124858e+02,1.135907e+02
3.000000e+00,1.084701e+02,1.038538e+02,1.406838e+02,1.316748e+02,4.084901e+02,3.156778e+02,1.303716e+02,1.252555e+02
3.250000e+00,1.354405e+02,1.091423e+02,2.671858e+02,2.264204e+02,3.900219e+02,3.199086e+02,1.614457e+02,1.876292e+02
3.500000e+00,8.570504e+01,9.158113e+01,1.714836e+02,1.667829e+02,3.403426e+02,2.747142e+02,1.159488e+02,1.307609e+02
3.750000e+00,9.998179e+01,8.541436e+01,9.106658e+01,9.912360e+01,2.529554e+02,1.828049e+02,1.365465e+02,1.071490e+02
4.000000e+00,1.032234e+02,7.098088e+01,1.152622e+02,9.918733e+01,2.441862e+02,1.708623e+02,1.322352e+02,1.108582e+02
4.250000e+00,1.034353e+02,6.909977e+01,9.045651e+01,8.064014e+01,2.429283e+02,1.859470e+02,1.105333e+02,9.147156e+01
4.500000e+00,1.288827e+02,8.305394e+01,1.011327e+02,8.347612e+01,2.713419e+02,2.103328e+02,1.285243e+02,1.066443e+02
4.750000e+00,9.987991e+01,6.498991e+01,8.235754e+01,7.991089e+01,2.511411e+02,1.950028e+02,1.045517e+02,7.421112e+01
5.000000e+00,9.060408e+01,5.570448e+01,7.124510e+01,8.329370e+01,1.386622e+02,1.076529e+02,9.624544e+01,7.067794e+01
5.250000e+00,8.632682e+01,4.843501e+01,7.948566e+01,9.060622e+01,9.141116e+01,7.102900e+01,9.901145e+01,8.277462e+01
5.500000e+00,5.938535e+01,3.944756e+01,5.952004e+01,6.647012e+01,9.043691e+01,7.027743e+01,7.012758e+01,6.031892e+01
5.750000e+00,5.609882e+01,4.143407e+01,4.093018e+01,5.760359e+01,1.055078e+02,7.499769e+01,6.056559e+01,4.546161e+01
6.000000e+00,5.699833e+01,3.900768e+01,2.942335e+01,4.106540e+01,1.036244e+02,6.880266e+01,6.478027e+01,4.142065e+01
6.250000e+00,4.439171e+01,3.233238e+01,2.947736e+01,3.450233e+01,8.939386e+01,5.669528e+01,5.425795e+01,3.915557e+01
6.500000e+00,5.799066e+01,3.126874e+01,3.522114e+01,2.729578e+01,8.864856e+01,5.485216e+01,6.741937e+01,4.318258e+01
